pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
41543884,63 years (SD 9.6),90% female,adults with solid tumors undergoing active treatment and experiencing moderate or greater fatigue,not specified,200 participants,IM@Home intervention (live exercise and mind-body classes via Zoom),enhanced usual care (standard of care plus on-demand meditation resources),,,live exercise and mind-body classes via Zoom (movement-focused: fitness and dance, mind-body: yoga and tai chi, mind-focused: meditation and music therapy),12-week live digital program delivering exercise and mind-body therapies tailored to the needs of individuals undergoing cancer treatment,,IM@Home,enhanced usual care,,,social benefits,,"improved ability to continue classes and carry out daily activities, reduction of comorbid symptoms such as insomnia, fatigue management through yoga and fitness classes, stress reduction through meditation classes",,,,,,,,,,,,,,
41542812,25-49 years,female (57%),cancer risk factors,recruited through a specialist research agency (All Global),"10,027 participants",856-797,1644,,,,'draft version of ECAC5 for general public differing in content and format',message comprehension using Likert scale,list of actions,reference category,,,awareness of 16 avoidable cancer risks,,,,,,,,,,,,,,,,,,
41538790,"60-79 years (intervention), 40-59 and 60-79 years (control)","female (65% intervention, 75% control)",advanced cancer staging,NCI definition of cancer survivor,32,20,12,,,Fitbit activity tracker with PROMIS Physical Function measure (HealthScore),HealthScore telehealth coaching program,motivational interviewing strategies,transtheoretical model of behavior change,waitlist control arm,,0,"improved QOL, increased physical activity, improved self-efficacy, enhanced communication with care teams",,"survey tool ineffective in capturing Fitbit progress, frustration at completing weekly surveys, unrealistic goals, discouragement, difficulty recalling weekly progress, negatively affected motivation by displaying HealthScore during study, preference for coaching focusing on personal needs",,,,,,,,,,,,,,,,
41538533,32-75 years,female,primary invasive breast cancer,"clinical stage T0-4, N0-3, or M0; completed neoadjuvant chemotherapy (NAC); no prior breast or axillary surgery; not M1 stage; able to be followed up",101 patients,"56 patients in triple method group including lymphoscintigraphy and isosulfanblue injection, indocyanine green (ICG) added",45 patients in DM alone group,methylene Blue dye,SLN mapping,Lymphoscintigraphy,,,ICG dye,DM,,,,,,,,,,,,,,,,,,,,,
41533999,adult females,female,"newly diagnosed, advanced stage IIIb-IV ovarian cancer; HRD status and cTMB-H profile",complete response after debulking surgery and frontline platinum-based doublet chemotherapy,91,24,18,gemogenovatucel-T,debulking surgery,,,,maintenance therapy with gemogenovatucel-T,placebo,"median OS: gemogenovatucel-T 68 [NA to NA] months, placebo 22 [NA to NA] months",no evidence of treatment-related AML or myelodysplastic syndrome,,"HR, 0.22 [0.00 to 0.83]; 1-sided P = .007; RMST: OS difference of 46 [13.0 to 79.0] months and 1-sided P = .007",,,,,,,,,,,,,,,,,
41526345,56.0 years,58% male,"chemotherapy-refractory, HER2+, RAS wild-type unresectable or metastatic colorectal cancer (CRC)","?18 years of age, HER2+, RAS wild-type, unresectable or metastatic CRC previously treated with fluoropyrimidines, oxaliplatin, irinotecan, an antivascular endothelial growth factor (VEGF) monoclonal antibody, and an anti-programmed death ligand 1 (PD-L1) or anti-PD-1 monoclonal antibody if the tumor had mismatch repair deficient proteins or had high microsatellite instability. Key exclusion criteria were previous treatment with HER2-directed therapies and a left ventricular ejection fraction of less than 50% documented within 28 days before treatment.",117 patients enrolled,"Cohort A: tucatinib (300 mg orally twice daily) in combination with trastuzumab (8 mg/kg IV as the initial loading dose, then 6 mg/kg every 21 days)","Cohort C: tucatinib monotherapy (300 mg orally twice daily), allowed to crossover to receive trastuzumab in combination with tucatinib if they had radiographic tumor progression at any time point or if they had not had a complete or partial response per investigator assessment by 12 weeks.",tucatinib plus trastuzumab,,,,,HER2-targeted chemotherapy-free regimen,tucatinib monotherapy,,adverse events,,cORR for patients with HER2+ disease ranged from 41.7% to 50.0%, DOR was 16.6 months across all 3 assays, Median PFS ranged from 8.1 to 10.9 months among patients identified as having HER2+ disease by any of the testing methods.,,,,,,,,,,,,,,,
41525075,Patients aged 18 to 80 years,female,unilateral invasive or in situ breast cancer,"underwent genetic testing and surgery, no previous bilateral or metastatic breast cancer, prior multigene panel testing, contraindications to surgery",400,178,168,,,,Personalized age-specific CBC risks were estimated based on the presence or absence of pathogenic variants associated with breast cancer and were incorporated into a visual decision support tool.,"Patients were randomized 1:1 to quantitative counseling via the tool vs standard counseling without personalized CBC risk estimates. Patients were randomized to personalized CBC risk counseling with our tool (ie, quantitative counseling) or standard genetic counseling. The genetic counselors delivered quantitative results in the following preference order: virtual appointment to review the tool, a telephone encounter after the tool was sent to the patient, or if the patient was unreachable after 3 attempts, an electronic medical record message. The genetic counselors delivered standard counseling via telephone call or electronic medical record message if the patient was unreachable and did not specifically address other medical risk factors for CBC.",genetic testing results,standard,CPM rate,,"patients' personal CBC risk knowledge and propensity to undergo CPM, before and after counseling, by randomization arm.",,,,,,,,,,,,,,,,,,
41517658,18-75 years,,HNC patients,"Newly diagnosed HNC patients, no prior chemotherapy or radiotherapy, planned for surgical treatment as first-line therapy, agreed to receive EN or IN support before surgery, normal hematopoietic (ANC > 1.5 × 10^9/L, hemoglobin ? 9 g/dL), hepatic and renal function, serum creatinine concentration adequate kidney function, serum bilirubin concentration adequate liver function, no disease affecting diet (e.g., COPD), no previous diagnoses or treatments in hospital system, excluded: patients receiving radiotherapy or chemotherapy, EN support, active infection, autoimmune, renal, hepatic disease, malabsorption, type 1 diabetes mellitus or mental illness, taking vitamin-mineral supplements and immunosuppressive treatment, morbidly obese (BMI ? 40 kg/m2), HIV positive, pregnant, and breastfeeding individuals",34,17,17,Impact Enteral,,,,,standard enteral nutrition (EN) product,"liquid standard enteral nutrition (Isosource Standard, Nestle Health Science, Switzerland)",,"Wound dehiscence and infection occurred in one patient in the intervention group. In the control group, one patient had wound infection without dehiscence, while 3 patients had wound dehiscence and infection (P > .05)",None of the participants experienced a tolerance problem when fed with NG tubes,"There was no significant difference between the intervention and control groups in terms of the development of complications, antibiotic usage, LOS, and duration of feeding. Although the difference was not statistically significant, a higher number of patients in the control group developed complications compared to the intervention group (P > .05)",,,,,,,,,,,,,,,,,
41513590,,,metastatic castration-resistant prostate cancer (mCRPC), post-docetaxel,developed disease progression during or after docetaxel,1200,378,377,mitoxantrone,,,,,mitoxantrone,standard chemotherapy,61.9%,"disease progression (96.3%), grade ? 3 trAEs",,"24-month RMST for OS: 15.2 months, 6-month RMST for PFS: 3.2 months",,,,,,,,,,,,,,,,
41506765,Males and females aged 50-74 years,mixed,CRC screening trial,randomised to once-only sigmoidoscopy or biennial faecal immunochemical test,10244,7218,3016,anticoagulant and antiplatelet medication,colonoscopy,,intensive training,,,biennial faecal immunochemical test,,lower gastrointestinal bleeding, perforation,,,"postpolypectomy syndrome, abdominal pain, vasovagal syncope, non-gastrointestinal adverse events",,,,,,,,,,,,,,,
41505735,34.2 ±3.8 years,female,nulliparous young breast cancer survivors (YBCS),"current age of 18–50 years, age at diagnosis of 18–45 years, Stage 0–III breast cancer, completion of primary cancer treatment, and one or more of the four women's health issues (fertility or pregnancy concerns, estrogen deprivation symptoms, and/or inadequate contraception), Survivors with ongoing pregnancies were ineligible. Participants with a history of hysterectomy and/or bilateral oophorectomy were excluded from this analysis (n = 3).",182,"randomized in a 1:1 ratio, given access to web-based SCP-R materials and received biweekly text message reminders focused on reproductive health","waitlist control arms, given access to a list of curated online resources and received text messages on study adherence",,hysterectomy,,web-based Reproductive Health Survivorship Care Plan (SCP-R),,,waitlist,,"fertility specialist access measured by referral, consultation, or treatment by a fertility specialist","improvement in fertility potential or pregnancy-related concerns (35.3% improvement in the intervention arm vs. 10.0% improvement in the attention control arm; RR = 3.5, 95% CI = 1.01–12.34, p = 0.05)",,more participants in the control arm planned or talked with their healthcare provider about managing targeted issues than did those in the intervention arm (p = 0.02),,,,,,,,,,,,,,,,
41488757,18-65 years,"male: 47%, female: 53%",colorectal cancer,(1) age between 18 and 65 years, (2) BMI of 18.5–30 kg/m2, (3) ASA grade I–III, (4) elective laparoscopic colorectal cancer resection under general anesthesia, (5) provision of informed consent.,176,92,46,DEX (20 ug/mL), BUT (200ug/mL),laparoscopic colorectal cancer resection,,,,combination dexmedetomidine + butorphanol,Group C,not mentioned,"respiratory infection, respiratory failure, bronchospasm, atelectasis, pleural effusion, pneumothorax, aspiration pneumonia, postoperative nausea and vomiting (PONV)",not mentioned,"significant variance in the occurrence of PPCs among the four groups on the first- and third-days post-surgery (Pday1 = 0.046, Pday3 = 0.016), with no notable difference on the seventh day (Pday7 > 0.05); Pairwise comparisons revealed that compared to Group C, Group DB exhibited lower PPCS rates on the first day post-surgery, while both Group B and Group DB had lower rates on the third day; significant discrepancy in PONV incidence (P=0.03), with Group B showing lower rates compared to Group C",not mentioned,,,,,,,,,,,
41488756,aged 65-80 years,,colorectal cancer scheduled for elective laparoscopic surgery,"ASA physical status classification I–III, body mass index 18–28 kg/m2, no severe cardiac disease, renal insufficiency, hepatic impairment, allergy to anesthetic drugs, preoperative sleep disorders, sedative or antidepressant dependence and alcoholism, mental illness or cognitive impairment affecting compliance and cooperation, other contraindications to anesthesia or surgery",92,46,46,"propofol 2-12 mg/kg/h, remimazolam besylate 0.3 mg/kg/h, remifentanil 0.2-0.3 ?g/kg/min, sufentanil 2 ?g/kg (in PCIA solution), cisatracurium intermittent dosing, ephedrine 5-10 mg, phenylephrine 50-100 ?g, atropine 0.5 mg, esmolol 10-20 mg",laparoscopic colorectal cancer surgery,,,,remimazolam and propofol,propofol alone (group P), combined sub-anesthetic doses of remimazolam and propofol (group PR),awakening time,sedation scores, incidence of adverse events,intraoperative hemodynamics,Quality of Recovery-15 (QoR-15) scores,awakening time,,,,,,,,,,,,,,
41482380,68.4±9.0 years (azilsartan) / 65.2±12.7 years (amlodipine),,Bev-induced hypertension,"1) patients diagnosed with colorectal cancer receiving treatment including Bev; 2) patients with systolic BP (SBP) and/or diastolic BP (DBP) ?140/90 mmHg on at least two measurements; 3) patients aged ?20 years. Exclusion criteria: 1) antihypertensive medication use within three months prior to enrollment; 2) history of diabetes; 3) serious cardiovascular disease (stroke, heart failure, myocardial infarction); 4) eGFR <30 ml/min/1.73 m2; 5) pregnant, breastfeeding, or planning to become pregnant women; 6) ineligible by principal investigator.",26 patients,13,13,azilsartan,,,,,amlodipine,azilsartan,,,,"SBP: amlodipine group > azilsartan group at week six (p=0.232), no difference at week 18; DBP: amlodipine group > azilsartan group at week six (p=0.242), no difference at week 18; proportion achieving target BP: 23.1% in both groups (p=1.000); medication adjustments: dose escalation required for 46.2% of patients in the amlodipine group vs 38.5% in azilsartan group (p=1.000), additional medication initiation required for 15.4% in amlodipine group and 38.5% in azilsartan group (p=0.378); UPCR ?0.5 g/gCr, classified as “severely elevated (A3)” in the KDIGO2024 guideline, was observed in eight patients overall (three in the azilsartan group, five in the amlodipine group); Both SBP and DBP were significantly higher at six weeks (p=0.003 and p<0.001, respectively). At week 18, DBP remained significantly elevated (p<0.001), and SBP showed a similar trend (p=0.112)",,,,,,,,,,,,,,,,,
41478730,?20 years,mixed,advanced cancer patient-caregiver dyads,"patients with advanced cancer (stage III or IV) and their primary family caregivers, aged ? 20 years, full consciousness, ability to communicate in Chinese or Taiwanese, no psychiatric history; caregivers: biological or marital relationship, provided daily care and emotional support; exclusion criteria for both groups: cognitive or language impairments, inability to follow study procedures, involvement in medical disputes; patients excluded if sharing a hospital room with another enrolled participant; caregivers excluded if not directly involved in caregiving, significant uncorrected sensory deficits, lacked access or ability to use a smartphone and the LINE messaging application",57,57,57,,,,general health education,"emotional support and active listening, BSRS-5 assessment for psychological stress",brief supportive interactions,standard hospital care,,,happiness (22.7 ± 3.8),,,,,,,,,,,,,,,,,,
41475829,18 years or older,mixed,HIV-positive,WLHIV: HIV-positive and due for cervical screening, CMs: 18 years or older and held a leadership role, HCPs: recommended by hospital management based on their roles and relevance to the study,45,"women living with HIV (n=30), healthcare providers (n=15)",SAB members (n=36),,,,HPVSS+3R message framing model,,,standard-of-care,,,increased willingness to participate,,"acceptability (80-100%), feasibility, appropriateness, adoption potential",,,,,,,,,,,,,,
41474977,?18 years,not provided,newly diagnosed cancer patients starting chemotherapy treatment,"(1) age >18 years, (2) proficient in speaking and reading Danish, (3) oncologist’s estimate of survival time exceeding 7 months.",278 participants randomized (1:1),139,139,,,,cross-sectoral video consultation,,usual care,standard payment system,,,,patient perceptions of care coordination and satisfaction with received information,,,,,,,,,,,,,,,,,
41465180,55-84 years,male,prostate cancer survivors, treated with androgen deprivation therapy (ADT),"history of ADT for prostate cancer, recently participated in a clinical fall prevention exercise trial",79,36,20,,,supervised group exercise classes,,Montreal Cognitive Assessment,strength or Tai Chi training compared to a stretching control group,stretching,,,,"Age-related changes in microbiota composition; significant decreases in short-chain fatty acid producers (Ruminococcus torques, Agathobacter, Blautia, Dialister) with age",,,,,,,,,,,,,,,,
41452765,53 ± 11 years,female,"Women diagnosed with stage I-III breast cancer; 51% had stage I breast cancer, primarily non-Hispanic White (71%), mean days from diagnosis: 64 ± 33","women receiving chemotherapy, exercising <150 min/wk of moderate- to vigorous-intensity physical activity, eating <7 fruits or vegetables daily, physically able to walk, and able to understand instructions in English. Ineligible: started second chemotherapy cycle, pregnant or planning to become pregnant, stroke or myocardial infarction in the past year, dementia or major psychiatric disease, or participating in a weight loss program.",N = 173,87,86,Adriamycin,,exercise science training,nutrition consultation,counseling session,,usual care (UC, n = 86),,,Declines in QoL compared with UC,,,,,,,,,,,,,,,,,
41440179,"59.66 ± 8.70 years (Hybrid Group), 61.66 ± 13.61 years (Home Group)",,patients with colorectal cancer (CRC) undergoing active treatment and no history of other types of cancer,inclusion criteria: receiving chemo- and/or immunotherapy at CAUSA’s Oncology Department, exclusion criterion: presence of other types of cancer than CRC.,44 participants,12,15,chemo- and/or immunotherapy,,supervised resistance exercise programme, home-based physical activity plan,,Anxiety and depression evaluation using Hospital Anxiety and Depression Scale (HADS),"contraindication of physical exercise due to comorbid musculoskeletal diseases, severe cardiovascular disease and bone metastases",Home Group,,no adverse events related to physical exercise,excellent adherence to interventions (>80%),no clinical outcomes mentioned,no other outcomes mentioned,,,,,,,,,,,,,,
41436191,22-70 years,Not specified,Operable high risk triple negative breast cancer (regional node positive or node negative with Ki-67 labelling index ?50%) after definitive surgery.,"ECOG performance status 0 or 1, normal organ function, no preoperative anticancer therapy, no distant metastases, not pregnant or breastfeeding",808,404,404,"carboplatin intensified, dose dense regimen versus standard regimens",primary surgery with clear margins,"premedication and supportive care outlined in study protocol; primary prophylaxis with pegylated recombinant human granulocyte colony stimulating factor; radiotherapy administered after chemotherapy according to guidelines from NCCN, St Gallen International Consensus, and Chinese Breast Cancer Society",informed patients about the trial and ensured their awareness of its purpose and content during recruitment, invited a member of the public to review our manuscript after submission,,,"standard regimens (four cycles of epirubicin 90 mg/m2 and cyclophosphamide 600 mg/m2 on day 1 every two or three weeks, sequentially followed by four cycles of paclitaxel 80 mg/m2 on days 1, 8, and 15 of each 21 or 28 day cycle)",overall survival,safety,recurrence-free survival, distant disease-free survival,hazard ratio,,,,,,,,,,,,,,,
41431032,45–74 years,"intervention: 26 males, 19 females; control: 29 males, 16 females",radical esophageal cancer surgery,"adults scheduled for Ivor-Lewis or McKeown esophagectomy; intraoperative placement of a naso-jejunal tube with the first enteral feeding initiated ? 24 hours postoperatively (‘early enteral nutrition’ definition); complete baseline data and at least 1 post-intervention measurement for each outcome domain (gastrointestinal, nutritional, and immune); and written informed consent. Exclusion criteria: failure to commence enteral nutrition within the predefined 24 hours window; reoperation, anastomotic leak, or death within 7 days after surgery; missing primary outcome measures, loss to follow-up, or withdrawal; severe dysfunction of heart, brain, liver, or kidney; concurrent metabolic or endocrine disorders; and psychiatric illness impairing cooperation.",90 patients,45 (intervention group),45 (control group),"0.9% sodium chloride (500 mL within 24 hours post-surgery, additional 500 mL on day 2 if no adverse reactions, gradually increasing to 1000 mL by day 3 and up to 1500-2000 mL based on tolerance, not exceeding 2500 mL)",radical esophageal cancer surgery,early enteral nutrition,"detailed explanation of disease causes, treatment methods, and postoperative nursing intervention plans",psychological counseling to increase patient's trust in medical staff and improve treatment compliance,comprehensive nursing interventions,standard postoperative care,,complications,"time to first bowel sound, first oral intake, and first defecation",,CD4+/CD8 + ratios mediating effect on defecation time,,,,,,,,,,,,,,,,
41429438,"Older employees were more likely to consume hot-temperature food and less likely to be vaccinated against hepatitis B or HPV. On the contrary, younger employees reported a higher rate of high-salt diet and a greater proportion of those who had never undergone HP testing (table 3, online supplemental table S1).","61.4% male, 38.6% female",hepatitis B,(1) at least 100 full-time employees, (2) an average turnover rate <20% in the past 3 years, (3) willingness of the employer to participate and support project implementation, (4) routine provision of employee health examinations, (5) agreed to receive intervention through smartphone applications, (6) capable of ensuring regular work attendance, (7) no intention of retiring or quitting the job within the next 3 years, (8) consented to be surveyed regarding outcome assessment and signed informed consent form, (9) no family history of cancer,841 participants,0,841,,,Moderate-Intensity Physical Activity (<150 min/week) or High-Intensity Physical Activity (<75 min/week),Chinese Dietary Guidelines (2022),,"Unhealthy dietary habits, preference for hot foods","all randomly selected participants from included workplaces who met inclusion criteria excluding those with cancer diagnosis, pregnancy or preparation for pregnancy, and any physical impediments",,,,,,,,,,,,,
41421991,"Median age was 76 years (range [70, 88])",female (61%) and male (39%), breast cancer (29%) and lung cancer (20%) were most frequent,"older cancer patients (? 70 years) with solid tumour, metastatic or advanced stage, indication for systemic treatment","performance status ? 2, MMS ? 7, life expectancy ? 3 months, able to swallow tablet and complete questionnaires in French, excluded: melatonin treatment, haematological cancer, autoimmune disease, alcohol abuse history, new line of treatment start",59 (per-protocol population), modified intent-to-treat population was 97,28,31,melatonin,,,,,,placebo, 250 participants allocated to the control group.,,safety and survival,impact of supplementation on sleep,"QoL assessment using the EORTC Quality of Life Questionnaire Core 30 (QLQ-C30) before and after supplementation, depressive syndrome score (GDS), nutritional status (MNA), autonomy score (IADL), cognitive function (MMS)",on urinary melatonin concentrations,,,,,,,,,,,,,
