PMID,Patient age,Patient Sex,Patient condition,Patient eligibility,"Patient samplesize
 (including intevention and control group)",Intervention drug,"Intervention
drug dosage","Surgical 
Intervention","Educational
Intervention","Psychological
Intervention","Physical
Intervention","Other
Intervention",Control,"Mortality
outcome","Adverse_Event
Outcome","Life_Impact
outcome
(physical, social, cognitive and emotional 
functional outcomes, delivery of care and health status)","physiological
outcome","Nuermical values
of outcome
(p value, mean and so on)","Other 
outcome"
39602807,20-80 y,Both,Clinical T3/T4 colon cancer,"T3-4, N0-2, M0 histologically proven colon cancer suitable for open surgery","853 total (427 conventional, 426 no-touch)",0,0,No-touch isolation technique for open colon cancer resection,0,0,0,Surgical technique comparison,Conventional open resection technique,6-year OS 86.6% vs 89.4% (No-touch vs conventional); no advantage,Not focus in long-term follow-up abstract,Not stated,"6-year DFS, OS, relapse-free survival",6-year DFS 69.4% vs 70.3%; HR 1.030 (95% CI 0.813-1.304); one-sided P=0.60,Long-term follow-up confirmed no superiority of no-touch technique
39604957,Adults with TNBC after NAC (exact age not in abstract),Female (breast cancer cohort),TNBC with residual positive axillary lymph node after standard NAC,T1-4/N1-3/M0 TNBC; completed 8 cycles anthracycline then paclitaxel NAC; residual axillary node positivity after surgery,22 eligible patients,Vinorelbine,25 mg/m2 on days 1 and 8 of 21-day cycle for 4 cycles,Post-surgery adjuvant therapy comparison,0,0,0,Adjuvant intensive therapy,No additional therapy,OS endpoint included; specific OS numbers not provided in abstract,No grade 3/4 adverse event occurred,Not stated,"DDFS, RFS, OS",3-year DDFS and RFS 90.0% vs 42.4%; p=0.022 for both,Small RCT; all patients in vinorelbine group completed full dose
39608305,Older adults ≥70 y,Both,Metastatic colorectal cancer after failure of oxaliplatin-fluoropyrimidine,Age ≥70; second-line mCRC; prior oxaliplatin-fluoropyrimidine failure,Not clearly extractable from abstract snippet,Maintenance 5-FU/LV + aflibercept after induction FOLFIRI-aflibercept,"After 6 cycles induction FOLFIRI-aflibercept, maintenance 5-FU/LV-aflibercept",0,0,0,0,Maintenance strategy in second-line setting,Continue FOLFIRI-aflibercept until progression,Not fully extractable from provided snippet,Aim included toxicity reduction; details not fully extractable from snippet,Not stated,Noninferiority phase II; maintenance efficacy outcomes,Insufficient from abstract snippet alone,Older-adult mCRC maintenance trial; row should be verified against full text if exact numbers are required
39608979,Adults with previously untreated advanced non-squamous NSCLC,Both,Advanced non-squamous NSCLC without EGFR/ALK alterations,Previously untreated advanced non-squamous NSCLC; EGFR/ALK negative,"412 total (205 intervention, 207 control)",Camrelizumab + carboplatin + pemetrexed,4-6 cycles q3w followed by maintenance camrelizumab + pemetrexed,0,0,0,0,Immunochemotherapy first-line regimen,Carboplatin + pemetrexed followed by pemetrexed only; crossover allowed,Improved OS at 5 years,Safety consistent/previously reported; not primary 5-year abstract focus,Not stated,"OS, PFS long-term outcomes",OS HR 0.74 (95% CI 0.58-0.93; one-sided p=0.0043); adjusted HR 0.62 after crossover; 5-year OS 31.2% vs lower control rate,CameL phase III 5-year follow-up
39615400,Hospitalized older adults ≥65 y; mean age 74.4,Both,Hospitalized older adults with cancer,Admitted to Medical Oncology Department; age ≥65,"58 allocated (28 intervention, 30 control)",0,0,0,0,0,Individualized multicomponent exercise training twice daily for 5 days,Exercise rehabilitation during hospitalization,Standard hospital care,Not assessed,Not highlighted in abstract,Reduced fatigue,SPPB functional status; knee extension strength,SPPB difference 1.92 (95% CI 0.80-3.07); knee strength difference 7.72 (95% CI 1.83-13.8); fatigue difference -26.5 (95% CI -38.6 to -13.9),Exercise improved function in hospitalized older cancer patients
39621348,Mean 66.4 (SD 9.6),58.6% women,Patients after lung resection for non-small cell lung cancer,Undergoing surgery for NSCLC at tertiary hospitals in Australia,"116 total (58 intervention, 58 control)",0,0,Lung resection in both groups,Self-management support with weekly physiotherapist-led telephone consultations,Self-efficacy support component,3-month home-based exercise program,Postoperative home-based exercise + self-management,Usual care,Not primary outcome,1 minor adverse event; no serious adverse events,Improved global QoL and exercise self-efficacy at 3 months,"Primary: self-reported physical function; secondary: SPPB, 6MWD","Primary physical function not significant (difference 1.0 point, 95% CI -6.0 to 8.0); 6MWD +39.7 m at 3 mo and +50.9 m at 6 mo; SPPB +0.8 at 6 mo",Assessor-blinded RCT with 12-month follow-up
39631846,Adults with refractory metastatic colorectal cancer; age not stated,Both,Microsatellite-stable/refractory metastatic colorectal cancer,Pretreatment plasma available; refractory mCRC from randomized phase II CO.26 trial,CO.26 parent trial; biomarker cohort size not clearly stated in snippet,Durvalumab + tremelimumab,Durvalumab plus tremelimumab per CO.26 protocol,0,0,0,0,Baseline plasma arginine biomarker assessment,Best supportive care,ARG-high subgroup: D+T improved OS vs BSC,Not primary focus,Predictive biomarker for benefit from immune checkpoint inhibition,Baseline plasma arginine concentration,"In ARG-high: median OS 7.62 vs 3.09 mo; HR 0.61 (0.37-0.99), p=0.047. In D+T arm ARG-high vs ARG-low: 7.62 vs 5.27 mo; HR 0.68, p=0.048",Exploratory post hoc correlative analysis of CO.26; not a primary RCT efficacy paper
39639252,Women with low health literacy; age not stated,Female,Breast cancer knowledge deficit / low health literacy population,84 women with low health literacy at Farabi Comprehensive Health Services Center,84 total,Teach-back education,0,0,"Three face-to-face weekly sessions, 20 min each, on BC risk factors, symptoms, BSE, screening importance",0,0,Teach-back educational strategy,Control/usual education,Not applicable,Not applicable,Improved breast cancer knowledge and diagnosis-technique knowledge,Knowledge outcomes,Mean knowledge scores significantly higher in intervention vs control at 8 weeks; P<0.001. Diagnosis-technique knowledge P<0.008,Randomized controlled trial in Iran
39641926,Adults with GI cancer; median age 68.0 (IQR 60.0-75.0),56.3% male / 43.7% female,Gastrointestinal cancer treated with fluoropyrimidines and/or irinotecan,GI cancer; planned fluoropyrimidine or irinotecan; genotype data available,"563 total (252 intervention, 311 control)",Pharmacogenetic-informed dosing based on DPYD/UGT1A1,Dose/drug adjustments per Dutch Pharmacogenetics Working Group recommendations,0,0,0,0,Pretherapeutic DPYD and UGT1A1 testing,Standard of care without genotype-guided upfront dosing,3-year overall survival preserved; no efficacy loss emphasized,Actionable genotype carriers had markedly fewer clinically relevant toxic effects and lower toxicity-management costs,Improved care delivery through safer personalized treatment,Clinically relevant toxic effects; hospitalization; costs; treatment intensity; QALYs,"Actionable carriers had 90% lower risk of clinically relevant toxic effects; OR 0.1 (95% CI 0.0-0.8), P=0.04",Secondary analysis of PREPARE randomized implementation trial
39643866,Female Yemeni teachers; age not stated,Female,Breast cancer screening knowledge and beliefs,180 female Yemeni teachers from 12 schools,180 total,HBM-based education,0,0,Single 90-minute educational session based on Health Belief Model,0,0,HBM educational intervention,Control group,Not applicable,Not primary focus,"Higher BSE and CBE uptake; improved knowledge, confidence, reduced barriers",Breast cancer screening behaviors and beliefs,BSE AOR 17.51 (8.22-37.29); CBE AOR 2.75 (1.42-5.32); sustained gains over 6 months,Cluster-randomized controlled trial
39656317,Breast cancer patients undergoing treatment; age not stated,Female,Breast cancer during therapy,69 patients pooled from two randomized controlled trials,69 analyzed,Resistance training program,12-week resistance training program,0,0,0,Supervised resistance training,0,No separate control comparison in this pooled trajectory analysis,Not applicable,Not reported as adverse-event comparison,Not primary patient-reported outcome paper,Training volume-load trajectories,Positive linear component 0.093; training progression plateau estimated after 20.6 sessions,Pooled trajectory analysis from two RCTs rather than a standalone intervention comparison
39663356,Patients with metastatic castration-resistant prostate cancer; age not stated,Male,mCRPC treated with potent AR inhibitors,Alliance A031201 phase III trial participants with plasma cfDNA available,776 patients assayed,Enzalutamide with or without abiraterone in parent trial,Parent trial AR inhibitor therapy,0,0,0,0,AR-ctDETECT cfDNA/ctDNA assay,ctDNA-negative vs ctDNA-positive prognostic groups / parent trial arms,ctDNA-positive associated with worse OS,Not primary focus,Biomarker/prognostic stratification rather than life-impact intervention,ctDNA detection and aneuploidy / AR alterations,ctDNA-positive vs ctDNA-negative median OS 29.0 vs 47.4 months,Correlative biomarker study within randomized phase III trial
39667310,Adults with initially unresectable colorectal cancer liver-only metastases,Both,CRLM after systemic induction treatment,489 patients from phase III CAIRO5 treated with FOLFOX/FOLFIRI/FOLFOXIRI plus bevacizumab or panitumumab,489 total; 242 underwent local treatment,Systemic induction regimens in CAIRO5,FOLFOX/FOLFIRI/FOLFOXIRI + bevacizumab or panitumumab,0,0,0,0,"Response-assessment subgroup analysis (RECIST, morphologic, pathological response)",0,Major pathological response associated with better OS,Not primary focus,Not primary focus,"RECIST, morphologic response, pathological response, early recurrence",RECIST PR HR 0.61 vs SD in overall population; major pathological response HR 0.66 for OS after local treatment,"Subgroup/prognostic analysis of CAIRO5, not a new randomized comparison"
39668137,Adults with BRCA-mutated platinum-sensitive relapsed ovarian cancer,Predominantly female,Platinum-sensitive relapsed ovarian cancer,gBRCAm platinum-sensitive relapsed ovarian cancer,"266 randomized (178 olaparib, 88 chemotherapy)",Olaparib,300 mg twice daily,0,0,0,0,PARP inhibitor monotherapy,Physician's choice single-agent nonplatinum chemotherapy,OS similar overall; subgroup favored olaparib with 2 prior lines but possible detriment with >=3 prior lines,Not emphasized in abstract,Objective response and PFS previously improved in SOLO3; final OS not superior overall,Overall survival and BRCA reversion mutation analysis,"Median OS 34.9 vs 32.9 mo; HR 1.07 (0.76-1.49), P=.71",Open-label phase III SOLO3 final OS update
39680411,Women >=18 y with advanced breast cancer; mean age 60 CBD vs 57 placebo,Female,Advanced breast cancer with clinical scan-related anxiety,Advanced breast cancer and baseline clinical anxiety before tumor-burden scan,"50 total (25 CBD, 25 placebo)",Cannabidiol,Single oral 400 mg dose within 48 h before scan,0,0,Single-dose anxiolytic intervention for scan-related anxiety,0,0,Placebo,Not applicable,No grade 3/4 toxic effects reported,Lower post-dose anxiety levels suggested possible anxiolytic effect,VAMS afraid/anxiety scores,"Primary change-score endpoint NS (P=0.37); post-dose VAMS afraid T-score lower with CBD 51.5 vs 58.0, P=0.02",Phase II double-masked placebo-controlled trial
39690158,Patients with high-volume metastatic hormone-sensitive prostate cancer; age not stated,Male,High-volume mHSPC,Randomized CHART trial participants,Sample size not stated in snippet,Rezvilutamide + ADT,0,0,0,0,0,Patient-reported outcomes analysis,Bicalutamide + ADT,Improved survival reported in parent CHART trial,Not primary safety focus in snippet,Delayed deterioration in pain and functional status,BPI-SF and FACT-P patient-reported outcomes,"Time to worst pain progression HR 0.75, p=0.026; pain interference HR 0.70, p=0.015; FACT-P deterioration HR 0.66, p=0.002",Exploratory PRO analysis from randomized phase III CHART trial
39693591,"Patients with HR-positive, HER2-negative advanced breast cancer after progression on prior CDK4/6i + endocrine therapy",Both,HR+/HER2- advanced breast cancer after prior CDK4/6 inhibitor,Progression on prior CDK4/6i + aromatase inhibitor or recurrence on/after adjuvant CDK4/6i + ET,"368 randomized (182 abemaciclib+fulvestrant, 186 placebo+fulvestrant)",Abemaciclib + fulvestrant,Abemaciclib continuous oral dosing + fulvestrant,0,0,0,0,Continued CDK4/6 inhibition beyond progression,Placebo + fulvestrant,No OS result in abstract; PFS improved,"TEAEs common; diarrhea 74.6%, neutropenia 40.9%; no new safety signals",Improved disease control with targeted therapy option,Investigator- and BICR-assessed PFS; ORR,"PFS HR 0.73 (0.57-0.95), nominal P=0.017; median PFS 6.0 vs 5.3 mo; ORR 17% vs 7%",Double-blind randomized phase III postMONARCH trial
39694978,Patients with advanced/metastatic RET-mutant medullary thyroid cancer; age not stated,Both,Advanced/metastatic RET-mutant medullary thyroid cancer,Safety population from phase III LIBRETTO-531,290 pooled interim safety patients,Selpercatinib-based trial context in LIBRETTO-531,0,0,0,0,0,Psychometric validation of FACT-GP5 tolerability item,0,Not applicable,Higher GP5 side-effect burden correlated with symptomatic AEs,Worse physical functioning with high side-effect burden,GP5 reliability/validity and tolerability measurement,"ICC 0.80-0.85; GP5 correlations with PRO-CTCAE 0.18-0.62; rating 3-4 associated with worse physical function, p<0.0001",Psychometric analysis rather than direct intervention efficacy study
39696111,Black women breast cancer survivors aged 40-70 y,Female,Breast cancer survivorship,26 Black women with history of BC,"26 total (13 gratitude, 13 control)",Gratitude journaling,0,0,0,Gratitude journaling twice weekly for 8 weeks,0,0,General memory journaling control,Not applicable,No major biomarker differences; IL-6 increased nonsignificantly,Spiritual well-being improved; marginal improvement in exercise self-efficacy,"Inflammatory biomarkers, spiritual well-being, stress, exercise self-efficacy","Spiritual well-being p=0.014, effect size 0.57; exercise self-efficacy ES=0.39",Pilot parallel random-assignment study
39705576,Early-stage prostate cancer survivors; age not stated,Predominantly male,Post-treatment prostate cancer survivorship,Early-stage prostate cancer survivors after primary treatment,Usual care n=93; PCa-SCP n=96,Electronic survivorship care plan,0,0,Tailored electronic SCP delivered by trained oncology nurses,0,0,0,Usual care,Not applicable,Not primary focus,Improved satisfaction with information and some self-management; no significant improvement in patient activation,"PAM-13, EORTC QLQ-INFO25, self-management domains",Patient activation not significantly improved; information received improved at 6 months,Multicenter randomized controlled trial
39706981,CRC patients with sleep disturbances; age not stated,Both,Colorectal cancer with sleep disorders,101 CRC patients with sleep disturbances,"101 total (53 BA, 48 usual care)",Behavioral activation,0,0,0,Behavioral activation intervention,0,0,Usual care,Not applicable,Not emphasized in abstract,"Improved sleep, QoL, and lower psychological distress","Sleep disturbance, physical activity, activation, avoidance","Sleep Wald chi2=7.979, P=0.019; QoL Wald chi2=6.435, P=0.04; distress Wald chi2=56.728, P<0.001; physical activity mediation P<0.001",Randomized controlled trial with mediation analysis
39707245,Medical students who had studied theoretical colorectal cancer knowledge,62.3% female,Colorectal cancer education / clinical thinking training,61 medical students previously taught theoretical CRC knowledge,61 total,Chatbot standardized patient + CBL,0,0,CSP-CBL educational intervention,Interactive chatbot/SP training,0,0,Traditional standardized patient + CBL,Not applicable,Not applicable,Better course experience and clinical-thinking/knowledge outcomes,Basic knowledge test; clinical thinking assessment; satisfaction,"Post-intervention knowledge and clinical thinking improved more in CSP-CBL; post-test SMD for knowledge -0.629, P<0.05",Educational randomized study
39709461,Patients with locally advanced NSCLC treated with chemoradiotherapy; age not stated,Both,Locally advanced NSCLC,235 patients from PETPLAN trial and hospital registry,235 total,Chemoradiotherapy in parent PETPLAN trial,0,0,0,0,0,PET/CT metabolic tumor volume prognostic analysis,0,Higher MTV associated with worse OS,Not primary focus,Prognostic discrimination rather than life-impact intervention,"MTV, SUVmax, SULpeak, TLG, TNM staging",Higher MTV associated with worse survival; median OS 17 vs 32 months in locally advanced disease,Retrospective prognostic analysis using randomized PETPLAN cohort + registry
39711061,Pancreatic cancer patients under chemotherapy; age not stated,Both,Pancreatic cancer receiving chemotherapy,145 PC patients under chemotherapy,"145 total (73 experimental, 72 control)",Mindfulness meditation + BrainLink intelligent biofeedback,0,0,0,Mindfulness meditation with biofeedback,0,BrainLink intelligent biofeedback device,Routine nursing treatment,Not applicable,Not primary adverse-event focus,"Improved anxiety, pain, and quality of life","SAS, VAS, EEG fatigue/concentration/relaxation, EORTC QLQ-C30","At weeks 4, 8, and 12, SAS and VAS significantly lower and QOL significantly higher in experimental group (p<0.05)",Randomized controlled trial
39715755,Previously untreated advanced NSCLC without driver alterations; age not stated,Both,Advanced non-small cell lung cancer,Treatment-naive advanced NSCLC,Sample size not stated in snippet,Toripalimab + chemotherapy,0,0,0,0,0,PD-1 inhibitor plus chemotherapy,Chemotherapy alone,Median OS improved,Not detailed in snippet,ctDNA response and biomarker-defined benefit subgroups,Overall survival; ctDNA and tissue biomarkers,"Median OS 23.8 vs 17.0 mo; HR 0.69 (95% CI 0.57-0.93), nominal P=0.01",Double-blind phase III CHOICE-01 final OS and biomarker analysis
39718597,Patients undergoing lobectomy for lung cancer; age not stated,Both,Postoperative recovery after lung cancer surgery,140 patients who underwent lobectomy,140 total,Ninjin'yoeito,0,Lobectomy for lung cancer,0,0,0,Kampo medicine perioperative support,Conventional treatment,Not applicable,No major safety issue highlighted; malnutrition improved,Respiratory symptoms and nutrition improved; fatigue primary endpoint not met,"Cancer Fatigue Scale, Cancer Dyspnea Scale, VC, nutrition","Primary CFS endpoint NS (P=0.425); CDS improved P=0.049; vital capacity difference +135.1 mL, P=0.041",Prospective randomized study
39733417,Adults with oral cavity malignancy undergoing surgery; ASA I-III; age not stated,Both,Oral cavity cancer undergoing surgery under general anesthesia,Adult ASA I-III oral cancer patients eligible for surgery,90 total; randomized among 3 groups,Opioid-based general anesthesia / lignocaine infusion / dexmedetomidine infusion,Per protocol infusion-based anesthesia; exact dose not stated in snippet,General anesthesia for oral cancer surgery,0,0,0,Comparison of 3 anesthesia techniques and anti-tumor immunity markers,Active comparator groups (opioid vs lignocaine vs dexmedetomidine techniques),Not reported,Overall opioid consumption markedly reduced in dexmedetomidine group; no major adverse effects,No significant between-group differences in perioperative anti-tumor immunity markers,"Postoperative TGF-β, IL-6, IL-10, NLR, MLR, PLR, T-helper profile (IFN-γ, IL-17A, IL-4)","No statistically significant difference in postoperative TGF-β, inflammatory markers, or T-helper profile among groups",Pilot prospective randomized trial in India
39733433,Women with breast cancer survivors; age not stated,Female,Breast cancer survivorship,Women with breast cancer enrolled per inclusion/exclusion criteria,132 women; randomized into group A and B,Multi-component exercise program,0,0,0,0,Multi-component exercise program,Breast cancer support group therapy,Support group therapy,Not applicable,Not primary focus,"Improved physical, emotional and social well-being (FACT-B domains) and limb circumference/body composition measures except BMI/WHR","Circumference measures, BMI, WHR, FACT-B",Significant improvements for multiple circumference measures and FACT-B domains; BMI p=0.743 and WHR p=0.6614 not significant,Breast cancer survivorship exercise RCT
39736191,Adult women waiting for mammography; age >18 years,Female,Breast cancer risk-factor awareness,Adult Italian-speaking women awaiting mammography and able to consent,"671 total (329 interactive website, 342 non-interactive website)",Interactive website education,0,0,Interactive website on alcohol as a modifiable breast cancer risk factor,0,0,Interactive digital education,Non-interactive validated website,Not applicable,Not applicable,Improved knowledge/awareness of alcohol as a modifiable breast cancer risk factor,"Knowledge of BC risk factors, daily alcohol threshold, alcohol units",82% vs 69% acquired knowledge that alcohol is a BC risk factor in intervention vs control; p<0.001,Randomized controlled trial on awareness/education
39768900,"Women aged 18 to 50+ years, at least 6 months post gynaecological cancer treatment",Female,Sexual dysfunction after gynaecological cancer treatment,At least 6 months post-treatment; some already using cannabis suppositories,83 total across 4 groups,Cannabis suppositories and/or online mindful compassion,0,0,0,Brief online mindful compassion group intervention,0,Cannabis suppositories; combined cannabis + mindful compassion,Care as usual / active comparison among 4 groups,Not applicable,Sexual pain reduced in cannabis-containing groups,"Improved sexual function, sexual self-efficacy, well-being and quality of life","Sexual function domains incl. arousal, lubrication, orgasm, pain",MC p=0.002 and COCM p≤0.001 improved sexual function; sexual pain reduced in COCM p=0.008 and CO p≤0.001,Preliminary exploratory 4-arm RCT
39787561,Newly diagnosed female breast cancer patients undergoing neoadjuvant chemotherapy,Female,Breast cancer receiving preoperative NAC,Newly diagnosed women with breast cancer confirmed for preoperative NAC by puncture pathology,"104 total (52 observation, 52 control)",White noise intervention,0,0,0,0,0,Nightly scheduled white noise across entire NAC cycle,Routine NAC only,Not applicable,Lower total incidence of adverse reactions in white-noise group; safety events otherwise similar,Improved sleep quality,Sleep quality domains; IgA/IgG/IgM; CRP; IL-6,"Sleep latency, subjective sleep quality, sleep duration, daytime function and sleep disorder scores significantly lower vs control after intervention (P<0.05); immune indicators not different between groups",Single-blind randomized trial
39788501,Patients with breast cancer; 103 total,"Not clearly stated in snippet, likely female predominance",Breast cancer with anxiety/depression burden,Randomized 1:1 to online mindfulness-based cancer recovery vs weekly group health education,"103 total (51 intervention, 52 control)",Internet-delivered mindfulness-based cancer recovery program,Once weekly for 4 weeks,0,0,Internet-delivered mindfulness-based cancer recovery program,0,4-week online mindfulness program,Weekly group health education for 4 weeks,Not applicable,Not primary focus,Reduced anxiety and depression; improved mindfulness; high satisfaction,"Anxiety, depression, mindfulness","Anxiety T2 β=-1.30, p<0.001; T3 β=-2.78, p<0.001. Depression T2 β=-1.92, p<0.001; T3 β=-2.96, p<0.001. Mindfulness T2 β=3.23, p=0.01; T3 β=8.06, p<0.001",Two-arm parallel randomized controlled trial in China
39835447,Adults aged 18-85 years with unresectable distal gastric adenocarcinoma and obstructive symptoms,Both,Gastric outlet obstruction due to unresectable distal gastric cancer,ECOG 0-2; expected survival >2 months; obstructive unresectable distal gastric tumors,"52 analyzed (25 gastrojejunostomy, 27 partitioning) from 90 initially randomized",Gastric partitioning,0,Gastric partitioning plus gastrojejunostomy,Not applicable,Not applicable,Not applicable,Gastric partitioning surgical approach,Gastrojejunostomy,No survival difference,Postoperative complications and 30-/90-day mortality similar between groups,Better return to full oral intake / acceptance of normal diet,"GOOS oral intake score, weight maintenance, transfusions, chemotherapy administration, survival",Normal diet acceptance 96% vs 72%; P=0.022. RBC transfusions 81% vs 52%; P=0.024,Prospective randomized open-label surgical trial
